ticker,year,variable,value,rule,note
KAZT,2020,total_assets,69902000000,always,Перенесено из исходного аналитического скрипта
LSRG,2020,total_assets,282405000000,always,Перенесено из исходного аналитического скрипта
POLY,2024,total_assets,206900000000,always,2069 млн USD × 100 RUB/USD
ROSN,2022,total_assets,12757000000000,always,Перенесено из исходного аналитического скрипта
POLY,2024,revenue,132800000000,always,1328 млн USD × 100 RUB/USD
POLY,2024,capex,-27900000000,always,-279 млн USD × 100 RUB/USD
NLMK,2020,roa,0.122,always,Перенесено из исходного аналитического скрипта
POLY,2024,roa,-0.04,always,Перенесено из исходного аналитического скрипта
AFLT,2020,debt_to_assets,0.0872,if_missing,Ручное дозаполнение из исходного скрипта
AKRN,2020,debt_to_assets,0.523,if_missing,Ручное дозаполнение из исходного скрипта
ALRS,2020,debt_to_assets,0.314,if_missing,Ручное дозаполнение из исходного скрипта
AMEZ,2020,debt_to_assets,0.3063,if_missing,Ручное дозаполнение из исходного скрипта
AQUA,2020,debt_to_assets,0.3393,if_missing,Ручное дозаполнение из исходного скрипта
CHMF,2020,debt_to_assets,0.35,if_missing,Ручное дозаполнение из исходного скрипта
FEES,2020,debt_to_assets,0.54,if_missing,Ручное дозаполнение из исходного скрипта
FESH,2020,debt_to_assets,0.17,if_missing,Ручное дозаполнение из исходного скрипта
FIVE,2020,debt_to_assets,0.22,if_missing,Ручное дозаполнение из исходного скрипта
FLOT,2020,debt_to_assets,0.42,if_missing,Ручное дозаполнение из исходного скрипта
GAZP,2020,debt_to_assets,0.21,if_missing,Ручное дозаполнение из исходного скрипта
GMKN,2020,debt_to_assets,0.47,if_missing,Ручное дозаполнение из исходного скрипта
HYDR,2020,debt_to_assets,0.22,if_missing,Ручное дозаполнение из исходного скрипта
IRAO,2020,debt_to_assets,0,if_missing,Ручное дозаполнение из исходного скрипта
KMAZ,2020,debt_to_assets,0.42,if_missing,Ручное дозаполнение из исходного скрипта
LKOH,2020,debt_to_assets,0.11,if_missing,Ручное дозаполнение из исходного скрипта
MAGN,2020,debt_to_assets,0.13,if_missing,Ручное дозаполнение из исходного скрипта
MGNT,2020,debt_to_assets,0.18,if_missing,Ручное дозаполнение из исходного скрипта
MGTS,2020,debt_to_assets,0.0102,if_missing,Ручное дозаполнение из исходного скрипта
MRKS,2020,debt_to_assets,0.51,if_missing,Ручное дозаполнение из исходного скрипта
MTLR,2020,debt_to_assets,1.6356,if_missing,Ручное дозаполнение из исходного скрипта
NKHP,2020,debt_to_assets,0.2558,if_missing,Ручное дозаполнение из исходного скрипта
NLMK,2020,debt_to_assets,0.3448,if_missing,Ручное дозаполнение из исходного скрипта
PHOR,2020,debt_to_assets,0.49,if_missing,Ручное дозаполнение из исходного скрипта
PLZL,2020,debt_to_assets,0.48,if_missing,Ручное дозаполнение из исходного скрипта
SELG,2020,debt_to_assets,0.54,if_missing,Ручное дозаполнение из исходного скрипта
SIBN,2020,debt_to_assets,0.18,if_missing,Ручное дозаполнение из исходного скрипта
SMLT,2020,debt_to_assets,0.35,if_missing,Ручное дозаполнение из исходного скрипта
TATN,2020,debt_to_assets,0.03,if_missing,Ручное дозаполнение из исходного скрипта
TRMK,2020,debt_to_assets,0.48,if_missing,Ручное дозаполнение из исходного скрипта
FIVE,2021,debt_to_assets,0.228671329,if_missing,Ручное дозаполнение из исходного скрипта
FIVE,2022,debt_to_assets,0.173446746,if_missing,Ручное дозаполнение из исходного скрипта
BANE,2023,debt_to_assets,0.054420305,if_missing,Ручное дозаполнение из исходного скрипта
FIVE,2023,debt_to_assets,0.144156665,if_missing,Ручное дозаполнение из исходного скрипта
FIVE,2024,debt_to_assets,0.156646772,if_missing,Ручное дозаполнение из исходного скрипта
